#,Done,Line,Section,Words saved,Why,FIND (old text),REPLACE WITH (new text)
11,,180,III-B Attack cls,9,Redundant 'delivery property' gloss,"A fourth concern is deliberately not an attack class. The timing window, in which a correct deny arrives after the actuator has already acted, is a delivery property that cuts across all three classes. It is closed by bounding decision latency below message propagation time, not by any policy dimension. We return to it in Section~\ref{sec:results}.","A fourth concern is deliberately not an attack class. The timing window, in which a correct deny arrives after the actuator has acted, cuts across all three classes. It is closed by bounding decision latency below message propagation time, not by any policy dimension. Section~\ref{sec:results} returns to it."
12,,184,III-C Assumptions,4,"'We assume the following.' is a heading, not a sentence","We assume the following. The attacker holds valid transport credentials for at least one authorized subject and can publish at wire rate. Transport security itself is intact. We do not defend broken cryptography. The policy decision point and the compiled policy are trusted. Policy compilation happens off the decision path, and policy updates are outside our present scope. The platform exposes its runtime state to the decision point as a bit vector.","We assume the attacker holds valid transport credentials for at least one authorized subject and can publish at wire rate. Transport security is intact, and we do not defend broken cryptography. The decision point and the compiled policy are trusted. Compilation happens off the decision path, and policy updates are outside our present scope. The platform exposes its runtime state to the decision point as a bit vector."
13,,211,IV Model,5,"Retire one 'That is,'; cut 'One scope statement belongs here.'","Every term in (2) is a bitwise AND against a precompiled mask followed by a comparison. That is, the first three terms are the H-NGAC identity triple, the $\sigma$ term conditions the permission on the platform's runtime state, and the $\pi$ term conditions it on the command's source type. Dimensions four and five add two more AND terms to a conjunction that already exists. They add no traversal, no lookup and no branch. One scope statement belongs here. We compile the association subset of INCITS 565, that is, the rules that grant. Prohibitions, obligations and administrative relations are not compiled, and Section~\ref{sec:limitations} bounds our claims accordingly.","Every term in (2) is a bitwise AND against a precompiled mask followed by a comparison. The first three terms are the H-NGAC identity triple. The $\sigma$ term conditions the permission on the platform's runtime state, and the $\pi$ term conditions it on the command's source type. Dimensions four and five add two AND terms to a conjunction that already exists. They add no traversal, no lookup and no branch. On scope, we compile only the association subset of INCITS 565, that is, the rules that grant. Prohibitions, obligations and administrative relations are not compiled, and Section~\ref{sec:limitations} bounds our claims accordingly."
14,,213,IV Model,4,Colon splice -> two sentences,"Equation (2) is constructed so that $\sigma$ and $\pi$ satisfy this condition: each is one AND-and-compare against a 32-bit register, far narrower than the 256-bit identity terms beside it. Section~\ref{sec:results} tests this hypothesis directly.","Equation (2) makes $\sigma$ and $\pi$ satisfy this condition. Each is one AND-and-compare against a 32-bit register, far narrower than the 256-bit identity terms beside it. Section~\ref{sec:results} tests this directly."
15,,215,IV Model,11,Don't tell the reader what matters; cut 'precisely',"The limit behavior of (3) matters for the reader budgeting a control loop. As $n$ grows toward the 512-rule capacity, hardware cost grows only through scan length, and Section~\ref{sec:arch} shows that growth is exactly half a cycle per rule regardless of how many dimensions each rule carries. In software the same growth compounds with dimensionality: our measured per-rule slope rises from 0.645 cycles in three dimensions to 1.220 cycles in five. Thus the two curves diverge precisely where policy gets rich.","Scaling in $n$ separates the two implementations. As $n$ grows toward the 512-rule capacity, hardware cost grows only through scan length, and Section~\ref{sec:arch} shows that growth is half a cycle per rule regardless of how many dimensions a rule carries. In software the growth compounds with dimensionality: our measured per-rule slope rises from 0.645 cycles in three dimensions to 1.220 in five. The two curves diverge as policy gets richer."
16,,220,V Architecture,8,Trailing clause inferable from prior sentence,"The policy resides behind a BRAM-style port and the request and rule count arrive over AXI-Lite registers. Synthesis maps the evaluation entirely to LUTs and flip-flops. The kernel consumes zero BRAM and zero DSP blocks, so the policy port is the only memory interface.","The policy sits behind a BRAM-style port and the request and rule count arrive over AXI-Lite registers. Synthesis maps the evaluation entirely to LUTs and flip-flops, and the kernel consumes zero BRAM and zero DSP blocks."
17,,222,V Architecture,42,LARGEST CUT: paragraph re-narrated the figure caption,"\new{Figure~\ref{fig:systembd} shows the integrated system as built for the board measurement of Section~\ref{subsec:onsilicon}. The kernel sits in the programmable logic as \texttt{hngac\_authorize\_0}. Policy memory is a dual-port block RAM reached through two AXI BRAM controllers, which lets the processing system rewrite policy on one port while the scan reads the other, keeping update traffic off the decision path. The request and rule count arrive over the AXI interconnect from the Zynq processing system. The AXI Timer beside the kernel is the instrument, not part of the primitive: it latches the decision interval in hardware, which is what makes the board cycle counts in Table~\ref{tab:board} measurements of the fabric rather than of the software that called it. The constant 25-cycle offset those counts carry over co-simulation is the round trip through this interconnect.}","\new{Figure~\ref{fig:systembd} shows the system as built for the board measurement of Section~\ref{subsec:onsilicon}. Policy memory is a dual-port block RAM, so the processing system can rewrite policy on one port while the scan reads the other, keeping update traffic off the decision path. The AXI Timer is instrumentation, not part of the primitive. It latches the decision interval in hardware, which is what makes the board counts in Table~\ref{tab:board} measurements of the fabric rather than of its caller. The constant 25-cycle offset those counts carry is the round trip through the interconnect.}"
18,,235,V Architecture,4,'That is what we mean by' = glossing your own phrase,"At 100~MHz, $L(500) = 262$ cycles is 2.62~$\mu$s, and the 512-rule capacity bounds the primitive at 2.68~$\mu$s. A designer needing a tighter bound shrinks $n$ or raises the clock, and either way the bound is known before deployment. That is what we mean by the worst case becoming a synthesis parameter.","At 100~MHz, $L(500) = 262$ cycles is 2.62~$\mu$s, and the 512-rule capacity bounds the primitive at 2.68~$\mu$s. A designer needing a tighter bound shrinks $n$ or raises the clock. Either way the bound is known before deployment, which is what makes the worst case a synthesis parameter."
19,,237,V Architecture,12,Cut 'We note one design consequence plainly.'; drop epistrophe,"We note one design consequence plainly. Forgoing early exit costs the average case: a software scan that exits on first match would beat (4) whenever the match lands early. We spend that average case to buy a worst case with zero variance, because the control loop budgets for the worst case and only the worst case.","Forgoing early exit costs the average case. A software scan that exits on first match beats (4) whenever the match lands early. We spend the average case to buy a worst case with zero variance, because a control loop budgets against the worst case."
20,,244,VI-A Platforms,7,Semicolon -> period,"\new{Three kernels were synthesized and co-simulated: a three-dimensional kernel checking the identity triple, a four-dimensional kernel adding runtime state, and a five-dimensional kernel adding command provenance. The three differ only in the conjunction terms of the rule check; policy layout, pipeline structure, interface and testbench are common.}","\new{Three kernels were synthesized and co-simulated: three-dimensional checking the identity triple, four-dimensional adding runtime state, and five-dimensional adding command provenance. They differ only in the conjunction terms of the rule check. Policy layout, pipeline structure, interface and testbench are common.}"
21,,248,VI-B Corpus,8,Interrupting apposition holds the verb 8 words,"The corpus generator emits, for each policy rule, one request that satisfies all five dimensions, plus a state-failing and a provenance-failing variant where applicable, yielding eleven requests for the four-rule policy and 1{,}334 at 500 rules. The corpus therefore exercises permit paths, state denials and provenance denials at every policy size, and it is the corpus under which the correctness columns of Section~\ref{sec:results} are computed.","For each policy rule the generator emits one request that satisfies all five dimensions, plus a state-failing and a provenance-failing variant where applicable. That yields eleven requests at four rules and 1{,}334 at 500. The corpus exercises permits, state denials and provenance denials at every policy size, and the correctness columns of Section~\ref{sec:results} are computed on it."
22,,252,VI-C Honesty,11,Cut the promise to be honest; keep the honesty,"We label every number by how it was obtained, and we hold the paper to the labels. Hardware cycle counts are measured and deterministic. No confidence interval applies because variance is zero by construction. Software per-decision cycle counts are derived: perf supplies a measured effective clock of 4.96~GHz, and cycles are mean nanoseconds multiplied by that clock. They are not per-decision counter reads. Proportions from the adversarial run carry exact denominators and one-sided 95\% Wilson score bounds. One baseline, RBAC with a modeled external state lookup, is a synthetic busy-wait. We exclude it from every empirical claim and use the measured SQLite-backed variant instead. The timing-window measurement produced zero slips and is reported only as a null result. \new{Board cycle counts are hardware-latched by an AXI Timer and are measurements; board round-trip latency includes the Linux userspace stack on the processing system and is reported as an observation of that stack, never as a property of the kernel.}","We label every number by how it was obtained. Hardware cycle counts are measured and deterministic, and no confidence interval applies because variance is zero by construction. Software per-decision cycle counts are derived, not counter reads: perf supplies a measured effective clock of 4.96~GHz, and cycles are mean nanoseconds times that clock. Proportions from the adversarial run carry exact denominators and one-sided 95\% Wilson bounds. One baseline, RBAC with a modeled external state lookup, is a synthetic busy-wait, and we exclude it from every empirical claim in favor of the measured SQLite variant. The timing-window measurement produced zero slips and is reported only as a null result. \new{Board cycle counts are hardware-latched by an AXI Timer and are measurements. Board round-trip latency includes the Linux userspace stack on the processing system and is reported as an observation of that stack, never as a property of the kernel.}"
23,,259,VII-A Key finding,1,Merge three short sentences,"Minimum, mean and maximum are equal at every point\new{, and all three co-simulations pass}. The closed form (4) fits all \new{eighteen} points exactly.","Minimum, mean and maximum are equal at every point\new{, all three co-simulations pass,} and the closed form (4) fits all \new{eighteen} points exactly."
24,,279,VII-A Key finding,18,Cut 'we draw attention to it rather than let a reader find it',"\new{One row of Table~\ref{tab:resources} is not identical, and we draw attention to it rather than let a reader find it. Iteration latency is two cycles in three dimensions and three in four and five. Pipeline depth grows by one stage when the state dimension arrives and then stops when provenance is added. Because the initiation interval is one, that depth is amortized across the scan and never reaches the per-decision cycle count, which is why Table~\ref{tab:cycles} is flat while pipeline depth is not. The mechanism matters: dimensionality is absorbed into the width of a pipeline stage, not into the length of the pipeline, until a stage runs out of timing slack.}","\new{One row of Table~\ref{tab:resources} is not identical. Iteration latency is two cycles in three dimensions and three in four and five, so pipeline depth grows by one stage when state arrives and then stops when provenance is added. Because the initiation interval is one, that depth is amortized across the scan and never reaches the per-decision cycle count. That is why Table~\ref{tab:cycles} is flat while pipeline depth is not. Dimensionality is absorbed into the width of a pipeline stage, not the length of the pipeline, until a stage runs out of timing slack.}"
25,,281,VII-A Key finding,29,Cut 'we mean the second clause literally' (worst GenAI tell),"\new{Dimensionality} is not free in area, and we do not claim it is. Table~\ref{tab:resources} \new{prices it. The fourth dimension costs 812 LUTs (+21.6\%) over the identity triple and the fifth costs a further 524 (+11.4\%), so carrying both costs 1{,}336 LUTs (+35.5\%) and 331 flip-flops (+14.1\%) against three dimensions. All three kernels consume zero BRAM and zero DSP. The five-dimensional kernel occupies 9\% of a low-cost part against the three-dimensional kernel's 7\%. Free in time, nearly free in area, and we mean the second clause literally: the price of two extra dimensions is roughly two percentage points of a \$100 part.} An earlier four-dimensional build also completed Vivado place and route with +2.170~ns worst negative slack and zero failing endpoints of 1{,}987, so the co-simulated clock is not optimistic for this fabric.","\new{Dimensionality} is not free in area. Table~\ref{tab:resources} \new{prices it. The fourth dimension costs 812 LUTs (+21.6\%) over the identity triple and the fifth a further 524 (+11.4\%), so carrying both costs 1{,}336 LUTs (+35.5\%) and 331 flip-flops (+14.1\%). All three kernels use zero BRAM and zero DSP. The five-dimensional kernel occupies 9\% of the part against the three-dimensional kernel's 7\%, so two added dimensions cost about two percentage points of a \$100 device.} An earlier four-dimensional build completed Vivado place and route with +2.170~ns worst negative slack and zero failing endpoints of 1{,}987, so the co-simulated clock is not optimistic for this fabric."
26,,305,VII-B Security,9,"Wordy: 'silicon-bound RTL, not a software model of it'","\new{Table~\ref{tab:cycles} shows three kernels spending the same cycles. Table~\ref{tab:rtlauth} shows them answering different questions with those cycles. We ran the identical 2{,}307-request corpus through all three co-simulations, so these are decisions taken by silicon-bound RTL, not by a software model of it.}","\new{Table~\ref{tab:cycles} shows three kernels spending the same cycles. Table~\ref{tab:rtlauth} shows them answering different questions. We ran the identical 2{,}307-request corpus through all three co-simulations, so these are RTL decisions, not software model decisions.}"
27,,328,VII-B Security,14,Drop 'with respect to the question it can ask' scaffolding,"\new{The three-dimensional kernel permits the entire corpus, all 2{,}307 requests, at every policy size. This is not a defect in the kernel. Every request in the corpus carries a valid identity triple, and the variants differ only in the state and provenance fields, so a kernel that cannot represent $\sigma$ or $\pi$ has no basis on which to deny any of them. It is correct with respect to the question it can ask. The question is simply not the one Layla's interlock asks.}","\new{The three-dimensional kernel permits the entire corpus, all 2{,}307 requests, at every policy size. This is not a defect. Every request carries a valid identity triple and the variants differ only in the state and provenance fields, so a kernel that cannot represent $\sigma$ or $\pi$ has no basis to deny any of them. It answers its own question correctly. That question is not the one Layla's interlock asks.}"
28,,330,VII-B Security,13,FIX: 'Reading down a row' -> 'Across the total row',"\new{The four-dimensional kernel denies the state-failing variants and admits the provenance-failing ones, permitting 1{,}587. The five-dimensional kernel permits 864, exactly the satisfying request for each rule at each policy size. Reading down a row, 1{,}443 requests separate three dimensions from five, and 723 of those separate four from five. Each of those two gaps is an attack class: unsafe-state operation in the first, command provenance abuse in the second, anchored respectively in CVE-2022-33323 and CVE-2021-38425.}","\new{The four-dimensional kernel denies the state-failing variants and admits the provenance-failing ones, permitting 1{,}587. The five-dimensional kernel permits 864, exactly one satisfying request per rule at each policy size. Across the total row, 1{,}443 requests separate three dimensions from five, and 723 of those separate four from five. Each gap is an attack class: unsafe-state operation (CVE-2022-33323) and command provenance abuse (CVE-2021-38425).}"
29,,332,VII-B Security,13,'on facing evidence' is not an idiom,"\new{The point of putting Table~\ref{tab:cycles} and Table~\ref{tab:rtlauth} on facing evidence is that the columns move independently. The cycle columns are identical and the permit columns are not. In hardware, the security question a kernel can ask is decoupled from what asking it costs in time.}","\new{The two tables move independently. The cycle columns are identical and the permit columns are not. In hardware, the security question a kernel can ask is decoupled from what asking it costs in time.}"
30,,336,VII-C Software,10,Cut 'the contrast is the paper in one image',"The identical kernel logic, compiled for the i7 and measured under perf, tells the opposite story. Per-rule marginal cost rises from 0.645 cycles in three dimensions to 1.024 in four and 1.220 in five. That is, in software every rule pays for every dimension on every decision, and the cost compounds with policy size: at 500 rules the five-dimensional software path spends 685 derived cycles per decision against the hardware kernel's 262 measured cycles. Figure~\ref{fig:keyfinding} plots both families\new{, and the contrast is the paper in one image}. The software curves fan out as dimensions are added. \new{The three hardware curves are one line.}","The same kernel logic compiled for the i7 and measured under perf tells the opposite story. Per-rule marginal cost rises from 0.645 cycles in three dimensions to 1.024 in four and 1.220 in five. In software every rule pays for every dimension on every decision, and the cost compounds with policy size. At 500 rules the five-dimensional software path spends 685 derived cycles per decision against the hardware kernel's 262 measured cycles. Figure~\ref{fig:keyfinding} plots both families. The software curves fan out as dimensions are added\new{, and the three hardware curves are one line}."
31,,347,VII-D Baselines,27,FIX: 'the April corpus' leaks an internal artifact name,"Table~\ref{tab:models} compares six software models on the same corpus. The RBAC hash map resolves in roughly 100 derived cycles at every policy size, and the flat cost is genuine. However, it admits 200{,}000 of 200{,}000 requests in the April corpus, including all 100{,}000 that violate state, and the DAG-NGAC and three-dimensional paths admit the same. A model that cannot see the state or provenance dimensions cannot deny on them. The only software models that decide correctly are the five-dimensional path and a flattened direct-lookup table that trades a 19.7$\times$ memory footprint for its speed. However, an RBAC deployment could encode state into its role set, a maintenance operator role distinct from a normal operator role. Sixteen state bits and three source types multiply that role count combinatorially, and the honest alternative, RBAC consulting an external state store, cost 20.6 times the four-dimensional path when we measured it against an in-process SQLite store. It might be tempting to read Table~\ref{tab:models} as an argument that cheap static authorization suffices. The correctness column is the answer: the fast rows are fast because they answer a smaller question than the one Layla's interlock asks.","Table~\ref{tab:models} compares six software models on the same corpus. The RBAC hash map resolves in roughly 100 derived cycles at every policy size, and that flat cost is genuine. It also admits 200{,}000 of 200{,}000 requests, including all 100{,}000 that violate state, and the DAG-NGAC and three-dimensional paths admit the same. A model that cannot see state or provenance cannot deny on them. The only software models that decide correctly are the five-dimensional path and a flattened direct-lookup table that buys its speed with 19.7$\times$ the memory. An RBAC deployment could encode state into its roles, a maintenance operator distinct from a normal operator, but sixteen state bits and three source types multiply that role count combinatorially. The alternative, RBAC consulting an external state store, cost 20.6 times the four-dimensional path against an in-process SQLite store. Table~\ref{tab:models} is not an argument that cheap static authorization suffices. The fast rows are fast because they answer a smaller question than the one Layla's interlock asks."
